"","sent_raw","syuzhet","bing","afinn","nrc"
"1","0,MARLEY'S GHOST",-0.6,0,-1,0
"2","1,MARLEY was dead: to begin with.",-1,-1,-3,0
"3","2,There is no doubt whatever about that.",-0.75,-1,-2,-1
"4","3,""The register of his burial was signed by the clergyman, the clerk, the undertaker, and the chief mourner.""",-1.5,-1,0,-1
"5","4,""Scrooge signed it: and Scrooge's name was good upon 'Change, for anything he chose to put his hand to.""",0.75,1,3,1
"6","5,Old Marley was as dead as a door-nail.",-1.25,-1,-3,0
"7","6,Mind!",0,0,0,0
"8","7,""I don't mean to say that I know, of my own knowledge, what there is particularly dead about a door-nail.""",-0.65,-1,-3,1
"9","8,""I might have been inclined, myself, to regard a coffin-nail as the deadest piece of ironmongery in the trade.""",0.4,1,0,-1
"10","9,""But the wisdom of our ancestors is in the simile; and my unhallowed hands shall not disturb it, or the Country's done for.""",0.5,0,-1,1
"11","10,""You will therefore permit me to repeat, emphatically, that Marley was as dead as a door-nail.""",-1.5,-2,-3,0
"12","11,Scrooge knew he was dead?",-1,-1,-3,0
"13","12,Of course he did.",0,0,0,0
"14","13,How could it be otherwise?",0,0,0,0
"15","14,Scrooge and he were partners for I don't know how many years.",0,0,0,0
"16","15,""Scrooge was his sole executor, his sole administrator, his sole assign, his sole residuary legatee, his sole friend, and sole mourner.""",-0.2,-1,1,1
"17","16,""And even Scrooge was not so dreadfully cut up by the sad event, but that he was an excellent man of business on the very day of the funeral, and solemnised it with an undoubted bargain.""",-0.3,0,1,1
"18","17,The mention of Marley's funeral brings me back to the point I started from.",-0.8,0,-1,0
"19","18,There is no doubt that Marley was dead.",-1.75,-2,-5,-1
"20","19,""This must be distinctly understood, or nothing wonderful can come of the story I am going to relate.""",0.75,1,4,1
"21","20,""If we were not perfectly convinced that Hamlet's Father died before the play began, there would be nothing more remarkable in his taking a stroll at night, in an easterly wind, upon his own ramparts, than there would be in any other middle-aged gentleman rashly turning out after dark in a breezy spot--say Saint Paul's Churchyard for instance-- literally to astonish his son's weak mind.""",2,1,1,3
"22","21,Scrooge never painted out Old Marley's name.",0,0,0,0
"23","22,""There it stood, years afterwards, above the warehouse door: Scrooge and Marley.""",0,0,0,0
"24","23,The firm was known as Scrooge and Marley.",0,0,0,0
"25","24,""Sometimes people new to the business called Scrooge Scrooge, and sometimes Marley, but he answered to both names.""",0.8,0,0,0
"26","25,It was all the same to him.",0,0,0,0
"27","26,""But he was a tight-fisted hand at the grind-stone, Scrooge! a squeezing, wrenching, grasping, scraping, clutching, covetous, old sinner!""",-2.3,-2,-2,-3
"28","27,""Hard and sharp as flint, from which no steel had ever struck out generous fire; secret, and self-contained, and solitary as an oyster.""",-0.25,0,-3,1
"29","28,""The cold within him froze his old features, nipped his pointed nose, shrivelled his cheek, stiffened his gait; made his eyes red, his thin lips blue; and spoke out shrewdly in his grating voice.""",-1.35,-3,0,-3
"30","29,""A frosty rime was on his head, and on his eyebrows, and his wiry chin.""",0,0,0,0
"31","30,He carried his own low temperature always about with him; he iced his office in the dog-days; and didn't thaw it one degree at Christmas.",0,0,0,1
"32","31,External heat and cold had little influence on Scrooge.",-0.5,-1,0,-1
"33","32,""No warmth could warm, no wintry weather chill him.""",0.9,1,2,0
"34","33,""No wind that blew was bitterer than he, no falling snow was more intent upon its purpose, no pelting rain less open to entreaty.""",-0.75,-1,-2,-1
"35","34,Foul weather didn't know where to have him.",-0.75,-1,-3,-1
"36","35,""The heaviest rain, and snow, and hail, and sleet, could boast of the advantage over him in only one respect.""",1.15,3,6,1
"37","36,""They often """"came down"""" handsomely, and Scrooge never did.""",1,1,0,0
"38","37,""Nobody ever stopped him in the street to say, with gladsome looks, """"My dear Scrooge, how are you? When will you come to see me?""""""",0.1,0,1,1
"39","38,""No beggars implored him to bestow a trifle, no children asked him what it was o'clock, no man or woman ever once in all his life inquired the way to such and such a place, of Scrooge.""",-0.1,0,-1,-1
"40","39,""Even the blind men's dogs appeared to know him; and when they saw him coming on, would tug their owners into doorways and up courts; and then would wag their tails as though they said, """"No eye at all is better than an evil eye, dark master!""""""",-1.3,-1,-3,-1
"41","40,But what did Scrooge care!",1,0,2,0
"42","41,It was the very thing he liked.",0.5,1,2,0
