,sent_clean
0,marley own ghost
1,marley was dead to begin with
2,there is no doubt whatever about that
3,the register of his burial was signed by the clergyman the clerk the undertaker and the chief mourner
4,scrooge signed it and scrooge own name was good upon change for anything he chose to put his hand to
5,old marley was as dead as a door nail
6,mind
7,i do not mean to say that i know of my own knowledge what there is particularly dead about a door nail
8,i might have been inclined myself to regard a coffin nail as the deadest piece of ironmongery in the trade
9,but the wisdom of our ancestors is in the simile and my unhallowed hands shall not disturb it or the country own done for
10,you will therefore permit me to repeat emphatically that marley was as dead as a door nail
11,scrooge knew he was dead
12,of course he did
13,how could it be otherwise
14,scrooge and he were partners for i do not know how many years
15,scrooge was his sole executor his sole administrator his sole assign his sole residuary legatee his sole friend and sole mourner
16,and even scrooge was not so dreadfully cut up by the sad event but that he was an excellent man of business on the very day of the funeral and solemnised it with an undoubted bargain
17,the mention of marley own funeral brings me back to the point i started from
18,there is no doubt that marley was dead
19,this must be distinctly understood or nothing wonderful can come of the story i am going to relate
20,if we were not perfectly convinced that hamlet own father died before the play began there would be nothing more remarkable in his taking a stroll at night in an easterly wind upon his own ramparts than there would be in any other middle aged gentleman rashly turning out after dark in a breezy spot say saint paul own churchyard for instance literally to astonish his son own weak mind
21,scrooge never painted out old marley own name
22,there it stood years afterwards above the warehouse door scrooge and marley
23,the firm was known as scrooge and marley
24,sometimes people new to the business called scrooge scrooge and sometimes marley but he answered to both names
25,it was all the same to him
26,but he was a tight fisted hand at the grind stone scrooge a squeezing wrenching grasping scraping clutching covetous old sinner
27,hard and sharp as flint from which no steel had ever struck out generous fire secret and self contained and solitary as an oyster
28,the cold within him froze his old features nipped his pointed nose shrivelled his cheek stiffened his gait made his eyes red his thin lips blue and spoke out shrewdly in his grating voice
29,a frosty rime was on his head and on his eyebrows and his wiry chin
30,he carried his own low temperature always about with him he iced his office in the dog days and did not thaw it one degree at christmas
31,external heat and cold had little influence on scrooge
32,no warmth could warm no wintry weather chill him
33,no wind that blew was bitterer than he no falling snow was more intent upon its purpose no pelting rain less open to entreaty
34,foul weather did not know where to have him
35,the heaviest rain and snow and hail and sleet could boast of the advantage over him in only one respect
36,they often came down handsomely and scrooge never did
37,nobody ever stopped him in the street to say with gladsome looks my dear scrooge how are you when will you come to see me
38,no beggars implored him to bestow a trifle no children asked him what it was of the clock no man or woman ever once in all his life inquired the way to such and such a place of scrooge
39,even the blind men own dogs appeared to know him and when they saw him coming on would tug their owners into doorways and up courts and then would wag their tails as though they said no eye at all is better than an evil eye dark master
40,but what did scrooge care
41,it was the very thing he liked
42,to edge his way along the crowded paths of life warning all human sympathy to keep its distance was what the knowing ones call nuts to scrooge
43,once upon a time of all the good days in the year on christmas eve old scrooge sat busy in his counting house
44,it was cold bleak biting weather foggy withal and he could hear the people in the court outside go wheezing up and down beating their hands upon their breasts and stamping their feet upon the pavement stones to warm them
45,the city clocks had only just gone three but it was quite dark already it had not been light all day and candles were flaring in the windows of the neighbouring offices like ruddy smears upon the palpable brown air
46,the fog came pouring in at every chink and keyhole and was so dense without that although the court was of the narrowest the houses opposite were mere phantoms
47,to see the dingy cloud come drooping down obscuring everything one might have thought that nature lived hard by and was brewing on a large scale
48,the door of scrooge own counting house was open that he might keep his eye upon his clerk who in a dismal little cell beyond a sort of tank was copying letters
49,scrooge had a very small fire but the clerk own fire was so very much smaller that it looked like one coal
50,but he could not replenish it for scrooge kept the coal box in his own room and so surely as the clerk came in with the shovel the master predicted that it would be necessary for them to part
51,wherefore the clerk put on his white comforter and tried to warm himself at the candle in which effort not being a man of a strong imagination he failed
52,a merry christmas uncle god save you cried a cheerful voice
53,it was the voice of scrooge own nephew who came upon him so quickly that this was the first intimation he had of his approach
54,bah said scrooge humbug
55,he had so heated himself with rapid walking in the fog and frost this nephew of scrooge own that he was all in a glow his face was ruddy and handsome his eyes sparkled and his breath smoked again
56,christmas a humbug uncle said scrooge own nephew
57,you do not mean that i am sure
58,i do said scrooge
59,merry christmas what right have you to be merry what reason have you to be merry you are poor enough
60,come then returned the nephew gaily
61,what right have you to be dismal what reason have you to be morose you are rich enough
62,scrooge having no better answer ready on the spur of the moment said bah again and followed it up with humbug
63,do not be cross uncle said the nephew
64,what else can i be returned the uncle when i live in such a world of fools as this merry christmas out upon merry christmas what is christmas time to you but a time for paying bills without money a time for finding yourself a year older but not an hour richer a time for balancing your books and having every item in them through a round dozen of months presented dead against you if i could work my will said scrooge indignantly every idiot who goes about with merry christmas on his lips should be boiled with his own pudding and buried with a stake of holly through his heart he should
65,uncle pleaded the nephew
66,nephew returned the uncle sternly keep christmas in your own way and let me keep it in mine
67,keep it repeated scrooge own nephew
68,but you do not keep it
69,let me leave it alone then said scrooge
70,much good may it do you much good it has ever done you
71,there are many things from which i might have derived good by which i have not profited i dare say returned the nephew
72,christmas among the rest but i am sure i have always thought of christmas time when it has come round apart from the veneration due to its sacred name and origin if anything belonging to it can be apart from that as a good time a kind forgiving charitable pleasant time the only time i know of in the long calendar of the year when men and women seem by one consent to open their shut up hearts freely and to think of people below them as if they really were fellow passengers to the grave and not another race of creatures bound on other journeys and therefore uncle though it has never put a scrap of gold or silver in my pocket i believe that it has done me good and will do me good and i say god bless it
73,the clerk in the tank involuntarily applauded
74,becoming immediately sensible of the impropriety he poked the fire and extinguished the last frail spark for ever
75,let me hear another sound from you said scrooge and you keep your christmas by losing your situation you are quite a powerful speaker sir he added turning to his nephew
76,i wonder you do not go into parliament
77,do not be angry uncle come dine with us to morrow
78,scrooge said that he would see him yes indeed he did
79,he went the whole length of the expression and said that he would see him in that extremity first
80,but why cried scrooge own nephew
81,why
82,why did you get married said scrooge
83,because i fell in love
84,because you fell in love growled scrooge as if that were the only one thing in the world more ridiculous than a merry christmas
85,good afternoon
86,nay uncle but you never came to see me before that happened why give it as a reason for not coming now
87,good afternoon said scrooge
88,i want nothing from you i ask nothing of you why cannot we be friends
89,good afternoon said scrooge
90,i am sorry with all my heart to find you so resolute we have never had any quarrel to which i have been a party but i have made the trial in homage to christmas and i keep my christmas humour to the last so a merry christmas uncle
91,good afternoon said scrooge
92,and a happy new year
93,good afternoon said scrooge
94,his nephew left the room without an angry word notwithstanding
95,he stopped at the outer door to bestow the greetings of the season on the clerk who cold as he was was warmer than scrooge for he returned them cordially
96,there is another fellow muttered scrooge who overheard him my clerk with fifteen shillings a week and a wife and family talking about a merry christmas i retire to bedlam
97,this lunatic in letting scrooge own nephew out had let two other people in
98,they were portly gentlemen pleasant to behold and now stood with their hats off in scrooge own office
99,they had books and papers in their hands and bowed to him
100,scrooge and marley own i believe said one of the gentlemen referring to his list
101,have i the pleasure of addressing mr scrooge or mr marley
102,mr marley has been dead these seven years scrooge replied
103,he died seven years ago this very night
104,we have no doubt his liberality is well represented by his surviving partner said the gentleman presenting his credentials
105,it certainly was for they had been two kindred spirits
106,at the ominous word liberality scrooge frowned and shook his head and handed the credentials back
107,at this festive season of the year mr scrooge said the gentleman taking up a pen it is more than usually desirable that we should make some slight provision for the poor and destitute who suffer greatly at the present time many thousands are in want of common necessaries hundreds of thousands are in want of common comforts sir
108,are there no prisons asked scrooge
109,plenty of prisons said the gentleman laying down the pen again
110,and the union workhouses demanded scrooge
111,are they still in operation
112,they are still returned the gentleman i wish i could say they were not
113,the treadmill and the poor law are in full vigour then said scrooge
114,both very busy sir
115,oh i was afraid from what you said at first that something had occurred to stop them in their useful course said scrooge
116,i very glad to hear it
117,under the impression that they scarcely furnish christian cheer of mind or body to the multitude returned the gentleman a few of us are endeavouring to raise a fund to buy the poor some meat and drink and means of warmth we choose this time because it is a time of all others when want is keenly felt and abundance rejoices what shall i put you down for
118,nothing
119,scrooge replied
120,you wish to be anonymous
121,i wish to be left alone said scrooge
122,since you ask me what i wish gentlemen that is my answer i do not make merry myself at christmas and i cannot afford to make idle people merry i help to support the establishments i have mentioned they cost enough and those who are badly off must go there
123,many cannot go there and many would rather die
124,if they would rather die said scrooge they had better do it and decrease the surplus population besides excuse me i do not know that
125,but you might know it observed the gentleman
126,it is not my business scrooge returned
127,it is enough for a man to understand his own business and not to interfere with other people own mine occupies me constantly good afternoon gentlemen
128,seeing clearly that it would be useless to pursue their point the gentlemen withdrew
129,scrooge resumed his labours with an improved opinion of himself and in a more facetious temper than was usual with him
130,meanwhile the fog and darkness thickened so that people ran about with flaring links proffering their services to go before horses in carriages and conduct them on their way
131,the ancient tower of a church whose gruff old bell was always peeping slily down at scrooge out of a gothic window in the wall became invisible and struck the hours and quarters in the clouds with tremulous vibrations afterwards as if its teeth were chattering in its frozen head up there
132,the cold became intense
133,in the main street at the corner of the court some labourers were repairing the gas pipes and had lighted a great fire in a brazier round which a party of ragged men and boys were gathered warming their hands and winking their eyes before the blaze in rapture
134,the water plug being left in solitude its overflowings sullenly congealed and turned to misanthropic ice
135,the brightness of the shops where holly sprigs and berries crackled in the lamp heat of the windows made pale faces ruddy as they passed
136,poulterers and grocers trades became a splendid joke a glorious pageant with which it was next to impossible to believe that such dull principles as bargain and sale had anything to do
137,the lord mayor in the stronghold of the mighty mansion house gave orders to his fifty cooks and butlers to keep christmas as a lord mayor own household should and even the little tailor whom he had fined five shillings on the previous monday for being drunk and bloodthirsty in the streets stirred up to morrow own pudding in his garret while his lean wife and the baby sallied out to buy the beef
138,foggier yet and colder
139,piercing searching biting cold
140,if the good saint dunstan had but nipped the evil spirit own nose with a touch of such weather as that instead of using his familiar weapons then indeed he would have roared to lusty purpose
141,the owner of one scant young nose gnawed and mumbled by the hungry cold as bones are gnawed by dogs stooped down at scrooge own keyhole to regale him with a christmas carol but at the first sound of
142,god bless you merry gentleman may nothing you dismay
143,scrooge seized the ruler with such energy of action that the singer fled in terror leaving the keyhole to the fog and even more congenial frost
144,at length the hour of shutting up the counting house arrived
145,with an ill will scrooge dismounted from his stool and tacitly admitted the fact to the expectant clerk in the tank who instantly snuffed his candle out and put on his hat
146,you want all day to morrow i suppose said scrooge
147,if quite convenient sir
148,it is not convenient said scrooge and it is not fair if i was to stop half a crown for it you would think yourself ill used i be bound
149,the clerk smiled faintly
150,and yet said scrooge you do not think me ill used when i pay a day own wages for no work
151,the clerk observed that it was only once a year
