,sent_no,sent_raw,syuzhet,bing,afinn,nrc,char_len,token_len,sent_clean,syuzhet_stdscaler,syuzhet_medianiqr,syuzhet_lnorm_stdscaler,syuzhet_lnorm_medianiqr,bing_stdscaler,bing_medianiqr,bing_lnorm_stdscaler,bing_lnorm_medianiqr,afinn_stdscaler,afinn_medianiqr,afinn_lnorm_stdscaler,afinn_lnorm_medianiqr,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,syuzhet_roll10,bing_roll10,afinn_roll10,nrc_roll10,mean_roll10,syuzhet_roll10_stdscale,bing_roll10_stdscale,afinn_roll10_stdscale,nrc_roll10_stdscale,syuzhet_roll100,syuzhet_stdscaler_roll10,bing_roll100,bing_stdscaler_roll10,afinn_roll100,afinn_stdscaler_roll10,nrc_roll100,nrc_stdscaler_roll10
0,1,"0,MARLEY'S GHOST",-0.6,0,-1,0,16,2,own ghost,-0.653653861425016,-0.5,-3.720231215400453,-5.138967265698131,-0.009434563709868416,0.0,-0.021800212997289025,0.0,-0.49040866325509813,-0.5,-2.449143843273831,-4.5846277257719406,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
1,2,"1,MARLEY was dead: to begin with.",-1.0,-1,-3,0,33,6,was dead to begin with,-1.0075819706204092,-0.8333333333333334,-2.114303050370679,-2.864482585705281,-0.7858436595984516,-1.0,-1.703237830304462,-8.361689907263308,-1.2061955384704162,-1.5,-2.4570278256781237,-4.599884390416772,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
2,3,"2,There is no doubt whatever about that.",-0.75,-1,-2,-1,40,7,is no doubt whatever about that,-0.7863769023732885,-0.625,-1.3922894913032622,-1.841890906571548,-0.7858436595984516,-1.0,-1.463375117421841,-7.168866810649427,-0.8483021008627571,-1.0,-1.4386276135527112,-2.6291303077893295,-0.8677718098578093,-1.0,-1.6060697845008025,-2.9130508461256124,,,,,,,,,,,,,,,,,
3,4,"3,""The register of his burial was signed by the clergyman, the clerk, the undertaker, and the chief mourner.""",-1.5,-1,0,-1,109,18,register of his burial was signed by the clergyman the clerk the undertaker and the chief mourner,-1.4499921071146509,-1.25,-1.1041742814978417,-1.4338317884582512,-0.7858436595984516,-1.0,-0.5829018276567064,-2.790325171718627,-0.13251522564743914,0.0,-0.08000713078384815,0.0,-0.8677718098578093,-1.0,-0.7191257444615801,-1.1338415564320121,,,,,,,,,,,,,,,,,
4,5,"4,""Scrooge signed it: and Scrooge's name was good upon 'Change, for anything he chose to put his hand to.""",0.75,1,3,1,106,19,signed it and scrooge own name was good upon change for anything he chose to put his hand to,0.5408535071094364,0.625,0.3877604130744383,0.6792033274627328,0.7669745321787148,1.0,0.5097852725374878,2.6435432058207513,0.9411650871755378,1.5,0.671486523940749,1.4542506673542765,0.5236468285273771,1.0,0.38159170195124825,1.074197076872201,,,,,,,,,,,,,,,,,
5,6,"5,Old Marley was as dead as a door-nail.",-1.25,-1,-3,0,40,8,marley was as dead as a door nail,-1.2287870388675302,-1.0416666666666667,-1.9886856347322026,-2.686569965681763,-0.7858436595984516,-1.0,-1.2834032192414975,-6.27387719633614,-1.2061955384704162,-1.5,-1.863514543557206,-3.4513489620979776,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
6,7,"6,Mind!",0.0,0,0,0,7,1,,-0.12276169763192607,0.0,-0.09179953426175227,0.0,-0.009434563709868416,0.0,-0.021800212997289025,0.0,-0.13251522564743914,0.0,-0.08000713078384815,0.0,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
7,8,"7,""I don't mean to say that I know, of my own knowledge, what there is particularly dead about a door-nail.""",-0.65,-1,-3,1,108,20,do not mean to say that i know of my own knowledge what there is particularly dead about a door nail,-0.6978948750744403,-0.5416666666666667,-0.48664760950810515,-0.5592254483287196,-0.7858436595984516,-1.0,-0.5268197072509676,-2.511432101082083,-1.2061955384704162,-1.5,-0.7939448807246074,-1.3815744720841978,0.5236468285273771,1.0,0.35483047261198075,1.0205140645347597,,,,,,,,,,,,,,,,,
8,9,"8,""I might have been inclined, myself, to regard a coffin-nail as the deadest piece of ironmongery in the trade.""",0.4,1,0,-1,113,19,might have been inclined myself to regard a coffin nail as the deadest piece of ironmongery in the trade,0.23116641156346723,0.33333333333333337,0.16396577098421608,0.36224177464679086,0.7669745321787148,1.0,0.5097852725374878,2.6435432058207513,-0.13251522564743914,0.0,-0.08000713078384815,0.0,-0.8677718098578093,-1.0,-0.6893926962062363,-1.074197076872201,,,,,,,,,,,,,,,,,
9,10,"9,""But the wisdom of our ancestors is in the simile; and my unhallowed hands shall not disturb it, or the Country's done for.""",0.5,0,-1,1,126,23,the wisdom of our ancestors is in the simile and my unhallowed hands shall not disturb it or the country own done for,0.31964843886231553,0.4166666666666667,0.17233010788980457,0.37408822990197166,-0.009434563709868416,0.0,-0.021800212997289025,0.0,-0.49040866325509813,-0.5,-0.2869590991499874,-0.4004824740895958,0.5236468285273771,1.0,0.2885030971570297,0.8874613833698627,,,,,,,,,,,,,,,,,
10,11,"10,""You will therefore permit me to repeat, emphatically, that Marley was as dead as a door-nail.""",-1.5,-2,-3,0,98,16,will therefore permit me to repeat emphatically that marley was as dead as a door nail,-1.4499921071146509,-1.25,-1.2306420825267097,-1.6129488138746473,-1.5622527554870347,-2.0,-1.2841912286145416,-6.277795920381321,-1.2061955384704162,-1.5,-0.9723178351133044,-1.726752353929094,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
11,12,"11,Scrooge knew he was dead?",-1.0,-1,-3,0,28,5,knew he was dead,-1.0075819706204092,-0.8333333333333334,-2.5179963669592866,-3.4362355968240994,-0.7858436595984516,-1.0,-2.038854121184137,-10.03068988875299,-1.2061955384704162,-1.5,-2.9314830541999353,-5.518024987306348,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
12,13,"12,Of course he did.",0.0,0,0,0,20,4,course he did,-0.12276169763192607,0.0,-0.09179953426175227,0.0,-0.009434563709868416,0.0,-0.021800212997289025,0.0,-0.13251522564743914,0.0,-0.08000713078384815,0.0,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
13,14,"13,How could it be otherwise?",0.0,0,0,0,29,5,could it be otherwise,-0.12276169763192607,0.0,-0.09179953426175227,0.0,-0.009434563709868416,0.0,-0.021800212997289025,0.0,-0.13251522564743914,0.0,-0.08000713078384815,0.0,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
14,15,"14,Scrooge and he were partners for I don't know how many years.",0.0,0,0,0,64,12,and he were partners for i do not know how many years,-0.12276169763192607,0.0,-0.09179953426175227,0.0,-0.009434563709868416,0.0,-0.021800212997289025,0.0,-0.13251522564743914,0.0,-0.08000713078384815,0.0,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
15,16,"15,""Scrooge was his sole executor, his sole administrator, his sole assign, his sole residuary legatee, his sole friend, and sole mourner.""",-0.2,-1,1,1,139,21,was his sole executor his sole administrator his sole assign his sole residuary legatee his sole friend and sole mourner,-0.2997257522296227,-0.16666666666666669,-0.20750868354128246,-0.16387948919646583,-0.7858436595984516,-1.0,-0.5027826061441767,-2.39189701773691,0.22537821196021987,0.5,0.14664516774565517,0.43860550827232747,0.5236468285273771,1.0,0.3306167186976793,0.9719412865940286,,,,,,,,,,,,,,,,,
16,17,"16,""And even Scrooge was not so dreadfully cut up by the sad event, but that he was an excellent man of business on the very day of the funeral, and solemnised it with an undoubted bargain.""",-0.3,0,1,1,190,36,even scrooge was not so dreadfully cut up by the sad event but that he was an excellent man of business on the very day of the funeral and solemnised it with an undoubted bargain,-0.388207779528471,-0.25,-0.19306512269675352,-0.1434229964461711,-0.009434563709868416,0.0,-0.021800212997289025,0.0,0.22537821196021987,0.5,0.05223293564505675,0.2559039635879367,0.5236468285273771,1.0,0.12879060824564934,0.5670782124782155,,,,,,,,,,,,,,,,,
